path,filename,date_dir,timestamp,date,framework_version,status,mode,mode_description,backend,model,temperature,top_p,max_tokens,timeout_seconds,trace_model,trace_path,food,service,tip,trace_format,prompt_char_count,prompt_message_count,example_count,active_proposition_count,rulebase_rule_count,rulebase_source,rulebase_method,generation_time_seconds,output_char_count,output_word_count,output_text_present,prompt_tokens,completion_tokens,total_tokens,finish_reason,error_type,error_message,tcf_status,tcf_score,tcf_quality_bucket,tcf_yes_count,tcf_total_questions,tcf_trace_fact_count,tcf_eval_count,tcf_latest_timestamp,tcf_judge_model,tcf_judge_backend,representative_case
/home/baunilha/Repositories/xai-playground/logs/2026-04-08/2026-04-08T172649199215Z_zero-shot-trace_af6910b6.json,2026-04-08T172649199215Z_zero-shot-trace_af6910b6.json,2026-04-08,2026-04-08 17:26:49.199215+00:00,2026-04-08,0.1.0,error,zero-shot+trace,Instructions plus the selected execution trace.,groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor2,traces/heitor2/tip_trace_food2_service7.json,2,7,2.5,,2118,2,0,,0,,,,0,0,False,,,,,BackendError,groq returned HTTP 403: error code: 1010,skipped,,unscored,,,6.0,2,2026-04-16 11:45:13.425374+00:00,llama-3.1-8b-instant,groq,True
/home/baunilha/Repositories/xai-playground/logs/2026-04-08/2026-04-08T173456583169Z_zero-shot-trace_85740651.json,2026-04-08T173456583169Z_zero-shot-trace_85740651.json,2026-04-08,2026-04-08 17:34:56.583169+00:00,2026-04-08,0.1.0,success,zero-shot+trace,Instructions plus the selected execution trace.,groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor2,traces/heitor2/tip_trace_food2_service7.json,2,7,2.5,,2118,2,0,,0,,,0.816034914998454,1207,218,True,557.0,292.0,849.0,stop,,,success,1.0,good >=0.80,6.0,6.0,6.0,2,2026-04-16 11:45:13.426245+00:00,llama-3.1-8b-instant,groq,True
/home/baunilha/Repositories/xai-playground/logs/2026-04-08/2026-04-08T174526524825Z_zero-shot-trace_7dee271e.json,2026-04-08T174526524825Z_zero-shot-trace_7dee271e.json,2026-04-08,2026-04-08 17:45:26.524825+00:00,2026-04-08,0.1.0,success,zero-shot+trace,Instructions plus the selected execution trace.,groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor2,traces/heitor2/tip_trace_food2_service7.json,2,7,2.5,,1943,2,0,,0,,,0.6084209289983846,1142,212,True,522.0,273.0,795.0,stop,,,success,1.0,good >=0.80,6.0,6.0,6.0,2,2026-04-16 11:45:14.831043+00:00,llama-3.1-8b-instant,groq,True
/home/baunilha/Repositories/xai-playground/logs/2026-04-08/2026-04-08T181927277840Z_zero-shot-trace_82f55465.json,2026-04-08T181927277840Z_zero-shot-trace_82f55465.json,2026-04-08,2026-04-08 18:19:27.277840+00:00,2026-04-08,0.1.0,success,zero-shot+trace,Instructions plus the selected execution trace.,groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor3,traces/heitor3/tip_trace_food0_service0.json,0,0,5.0,,2055,2,0,,0,,,0.5597423470026115,1096,201,True,551.0,270.0,821.0,stop,,,success,1.0,good >=0.80,5.0,5.0,5.0,2,2026-04-16 11:45:15.947219+00:00,llama-3.1-8b-instant,groq,True
/home/baunilha/Repositories/xai-playground/logs/2026-04-08/2026-04-08T182745889597Z_zero-shot-trace_acf533b5.json,2026-04-08T182745889597Z_zero-shot-trace_acf533b5.json,2026-04-08,2026-04-08 18:27:45.889597+00:00,2026-04-08,0.1.0,success,zero-shot+trace,Instructions plus the selected execution trace.,groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor3,traces/heitor3/tip_trace_food0_service0.json,0,0,5.0,activated_labels,1735,2,0,2.0,0,,,0.6615424760093447,990,163,True,455.0,198.0,653.0,stop,,,success,1.0,good >=0.80,5.0,5.0,5.0,2,2026-04-16 11:45:17.595600+00:00,llama-3.1-8b-instant,groq,True
/home/baunilha/Repositories/xai-playground/logs/2026-04-08/2026-04-08T182835721466Z_zero-shot-trace_4f6433a7.json,2026-04-08T182835721466Z_zero-shot-trace_4f6433a7.json,2026-04-08,2026-04-08 18:28:35.721466+00:00,2026-04-08,0.1.0,success,zero-shot+trace,Instructions plus the selected execution trace.,groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor2,traces/heitor2/tip_trace_food2_service7.json,2,7,2.5,activated_labels,1833,2,0,3.0,0,,,0.5117639770032838,880,140,True,488.0,191.0,679.0,stop,,,success,1.0,good >=0.80,6.0,6.0,6.0,2,2026-04-16 11:45:19.133409+00:00,llama-3.1-8b-instant,groq,True
/home/baunilha/Repositories/xai-playground/logs/2026-04-09/2026-04-09T123832606738Z_zero-shot-trace_81f9bb92.json,2026-04-09T123832606738Z_zero-shot-trace_81f9bb92.json,2026-04-09,2026-04-09 12:38:32.606738+00:00,2026-04-09,0.1.0,success,zero-shot+trace,"Only a system prompt is used, including the simplified trace produced by the reduction method.",groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor2,traces/heitor2/tip_trace_food0_service0.json,0,0,5.0,activated_labels,1735,2,0,2.0,0,,,0.4773507950012572,990,163,True,455.0,198.0,653.0,stop,,,success,1.0,good >=0.80,5.0,5.0,5.0,2,2026-04-16 11:45:20.780320+00:00,llama-3.1-8b-instant,groq,True
/home/baunilha/Repositories/xai-playground/logs/2026-04-09/2026-04-09T123833177302Z_3-shot-trace_70691b3b.json,2026-04-09T123833177302Z_3-shot-trace_70691b3b.json,2026-04-09,2026-04-09 12:38:33.177302+00:00,2026-04-09,0.1.0,success,3-shot+trace,"Given the generated explanations, we add 3-shot prompting; that is, we provide examples to the LLM to constrain its responses. This consists of playing the role of a user and the role of the LLM to indicate which interactions should take place.",groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor2,traces/heitor2/tip_trace_food0_service0.json,0,0,5.0,activated_labels,3618,8,3,2.0,0,,,0.31532938800228294,280,47,True,1030.0,74.0,1104.0,stop,,,success,1.0,good >=0.80,5.0,5.0,5.0,2,2026-04-16 11:45:21.838461+00:00,llama-3.1-8b-instant,groq,True
/home/baunilha/Repositories/xai-playground/logs/2026-04-09/2026-04-09T123833594505Z_3-shot-trace-with-model-rulebase_f4f61a77.json,2026-04-09T123833594505Z_3-shot-trace-with-model-rulebase_f4f61a77.json,2026-04-09,2026-04-09 12:38:33.594505+00:00,2026-04-09,0.1.0,success,3-shot+(trace with model rulebase),"This time, we give the rules and their activations directly to the LLM, together with the activations of each fuzzy proposition. Therefore, the reduction function is no longer used. The presence of the rules provides the LLM with a logical structure, namely the conjunctions and disjunctions present in the premises of the rules.",groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor2,traces/heitor2/tip_trace_food0_service0.json,0,0,5.0,activated_labels,4078,8,3,2.0,4,traces/heitor2,inferred_from_trace_directory,0.30859187300666235,366,66,True,1149.0,102.0,1251.0,stop,,,success,1.0,good >=0.80,5.0,5.0,5.0,2,2026-04-16 11:45:23.021881+00:00,llama-3.1-8b-instant,groq,True
/home/baunilha/Repositories/xai-playground/logs/2026-04-09/2026-04-09T123833993914Z_zero-shot-trace_a99f6e93.json,2026-04-09T123833993914Z_zero-shot-trace_a99f6e93.json,2026-04-09,2026-04-09 12:38:33.993914+00:00,2026-04-09,0.1.0,success,zero-shot+trace,"Only a system prompt is used, including the simplified trace produced by the reduction method.",groq,llama-3.1-8b-instant,0.0,1.0,600,120,heitor2,traces/heitor2/tip_trace_food0_service1.json,0,1,5.0,activated_labels,1735,2,0,2.0,0,,,0.5135821980074979,809,133,True,455.0,163.0,618.0,stop,,,success,1.0,good >=0.80,5.0,5.0,5.0,1,2026-04-16 11:02:10.927097+00:00,llama-3.1-8b-instant,groq,False
